[00:37:43]	Řõšš has connected.
[00:52:33]	Builder Bob entered observer.
[00:52:33]	Builder Bob exited observer at their location.
[00:52:34]	Builder Bob entered observer.
[00:52:49]	W00KI used command '/CharSetModel w00ki models\union\citizens\male_01.mdl'.
[00:52:50]	W00KI exited observer at their location.
[00:52:56]	Егор Егор exited observer at their location.
[00:53:01]	Егор Егор entered observer.
[00:53:03]	Егор Егор exited observer at their location.
[00:53:03]	Егор Егор entered observer.
[00:53:15]	Егор Егор exited observer at their location.
[00:53:15]	Егор Егор entered observer.
[00:53:16]	Егор Егор exited observer at their location.
[00:53:17]	Егор Егор entered observer.
[00:53:17]	W00KI used command '/CharSetModel w00ki models\union\citizens\male_02.mdl'.
[00:53:17]	Егор Егор exited observer at their location.
[00:53:18]	Егор Егор entered observer.
[00:53:18]	Егор Егор exited observer at their location.
[00:53:18]	Егор Егор entered observer.
[00:53:20]	W00KI used command '/CharSetModel w00ki models\union\citizens\male_03.mdl'.
[00:53:25]	W00KI used command '/CharSetModel w00ki models\union\citizens\male_04.mdl'.
[00:53:28]	W00KI used command '/CharSetModel w00ki models\union\citizens\male_05.mdl'.
[00:53:32]	W00KI used command '/CharSetModel w00ki models\union\citizens\male_06.mdl'.
[00:53:35]	W00KI used command '/CharSetModel w00ki models\union\citizens\male_07.mdl'.
[00:53:35]	Егор Егор exited observer at their location.
[00:53:35]	Егор Егор entered observer.
[00:53:38]	W00KI used command '/CharSetModel w00ki models\union\citizens\male_08.mdl'.
[00:53:39]	Егор Егор exited observer at their location.
[00:53:41]	W00KI used command '/CharSetModel w00ki models\union\citizens\male_09.mdl'.
[00:53:45]	W00KI used command '/CharSetModel w00ki models\union\citizens\male_10.mdl'.
[00:53:49]	W00KI used command '/CharSetModel w00ki models\union\citizens\male_11.mdl'.
[00:53:52]	W00KI used command '/CharSetModel w00ki models\union\citizens\male_12.mdl'.
[00:53:56]	W00KI used command '/CharSetModel w00ki models\union\citizens\male_13.mdl'.
[00:53:59]	W00KI used command '/CharSetModel w00ki models\union\citizens\male_14.mdl'.
[00:54:01]	Егор Егор used command '/CharGiveFlag Егор ept'.
[00:54:03]	W00KI used command '/CharSetModel w00ki models\union\citizens\male_15.mdl'.
[00:54:06]	W00KI used command '/CharSetModel w00ki models\union\citizens\male_16.mdl'.
[00:54:08]	W00KI used command '/CharSetModel w00ki models\union\citizens\male_17.mdl'.
[00:54:12]	Егор Егор entered observer.
[00:54:15]	Řõšš (STEAM_0:0:81566201) has disconnected.
[00:54:26]	W00KI entered observer.
[00:54:34]	Builder Bob exited observer at their location.
[00:54:35]	Builder Bob entered observer.
[00:54:46]	Егор Егор ran 'take' on item 'Flashlight' (#9)
[00:54:46]	Егор Егор has gained a 'Flashlight' #9.
[00:55:09]	W00KI exited observer at their location.
[00:55:15]	W00KI entered observer.
[00:55:17]	W00KI exited observer at their location.
[00:55:18]	W00KI entered observer.
[00:55:22]	W00KI exited observer at their location.
[00:55:24]	Егор Егор exited observer at their location.
[00:55:27]	W00KI entered observer.
[00:55:29]	W00KI exited observer at their location.
[00:55:30]	Егор Егор entered observer.
[00:55:34]	W00KI entered observer.
[00:55:35]	W00KI exited observer at their location.
[00:55:39]	Егор Егор exited observer at their location.
[00:56:11]	Егор Егор has taken 50 damage from prop_ragdoll.
[00:56:26]	W00KI entered observer.
[00:56:29]	W00KI exited observer at their location.
[00:56:54]	W00KI entered observer.
[00:57:08]	W00KI exited observer at their location.
[00:57:19]	Егор Егор ran 'take' on item 'Фетровая шляпа' (#10)
[00:57:19]	Егор Егор has gained a 'Фетровая шляпа' #10.
[00:57:24]	Егор Егор ran 'TakeUpClothes' on item 'Фетровая шляпа' (#10)
[00:57:38]	Егор Егор has gained a 'Фетровая шляпа' #11.
[00:57:44]	Егор Егор ran 'drop' on item 'Фетровая шляпа' (#11)
[00:57:44]	Егор Егор has lost a 'Фетровая шляпа' #11.
[00:57:50]	W00KI ran 'take' on item 'Фетровая шляпа' (#11)
[00:57:50]	W00KI has gained a 'Фетровая шляпа' #11.
[00:57:56]	W00KI ran 'TakeUpClothes' on item 'Фетровая шляпа' (#11)
[00:58:07]	Егор Егор ran 'take' on item 'Униформа юнита' (#12)
[00:58:07]	Егор Егор has gained a 'Униформа юнита' #12.
[00:58:10]	Егор Егор ran 'drop' on item 'Униформа юнита' (#12)
[00:58:10]	Егор Егор has lost a 'Униформа юнита' #12.
[00:58:20]	Егор Егор ran 'TakeUpClothes' on item 'Строительный шлем' (#13)
[00:58:34]	W00KI ran 'take' on item 'Серый пиджак' (#14)
[00:58:34]	W00KI has gained a 'Серый пиджак' #14.
[00:58:38]	W00KI ran 'TakeUpClothes' on item 'Серый пиджак' (#14)
[00:58:43]	Егор Егор has gained a 'Строительный шлем' #15.
[00:58:49]	Егор Егор ran 'drop' on item 'Строительный шлем' (#15)
[00:58:49]	Егор Егор has lost a 'Строительный шлем' #15.
[00:58:58]	Егор Егор ran 'TakeUpClothes' on item 'Униформа рабочего' (#18)
[00:59:18]	Егор Егор ran 'TakeUpClothes' on item 'Рабочие штаны гражданина' (#19)
[01:00:01]	W00KI ran 'take' on item 'Темные джинсы' (#22)
[01:00:01]	W00KI has gained a 'Темные джинсы' #22.
[01:00:06]	W00KI ran 'TakeUpClothes' on item 'Темные джинсы' (#22)
[01:00:19]	Егор Егор has gained a 'Рабочие штаны гражданина' #23.
[01:00:30]	Егор Егор has gained a 'Униформа рабочего' #24.
[01:00:35]	Егор Егор ran 'TakeUpClothes' on item 'Униформа рабочего' (#24)
[01:00:41]	Егор Егор ran 'TakeUpClothes' on item 'Рабочие штаны гражданина' (#23)
[01:00:52]	Егор Егор has gained a 'Униформа рабочего' #25.
[01:00:56]	Егор Егор has gained a 'Рабочие штаны гражданина' #26.
[01:00:58]	W00KI has gained a 'Серый пиджак' #27.
[01:00:58]	W00KI has gained a 'Темные джинсы' #28.
[01:00:59]	W00KI has gained a 'Фетровая шляпа' #29.
[01:01:01]	Егор Егор ran 'TakeUpClothes' on item 'Рабочие штаны гражданина' (#26)
[01:01:17]	W00KI ran 'TakeUpClothes' on item 'Рабочая униформа' (#32)
[01:01:42]	Builder Bob exited observer at their location.
[01:01:43]	Builder Bob entered observer.
[01:01:43]	Builder Bob exited observer at their location.
[01:01:44]	Builder Bob entered observer.
[01:01:45]	Builder Bob exited observer at their location.
[01:01:45]	Егор Егор has gained a 'Рабочие штаны гражданина' #33.
[01:01:45]	Builder Bob entered observer.
[01:01:46]	Builder Bob exited observer at their location.
[01:01:46]	Builder Bob entered observer.
[01:01:48]	Builder Bob exited observer at their location.
[01:01:48]	Builder Bob entered observer.
[01:01:49]	Егор Егор ran 'drop' on item 'Рабочие штаны гражданина' (#33)
[01:01:49]	Егор Егор has lost a 'Рабочие штаны гражданина' #33.
[01:01:50]	Builder Bob exited observer at their location.
[01:01:50]	Builder Bob entered observer.
[01:01:51]	Builder Bob exited observer at their location.
[01:01:51]	Builder Bob entered observer.
[01:01:51]	Builder Bob exited observer at their location.
[01:01:52]	Builder Bob entered observer.
[01:02:01]	W00KI ran 'take' on item 'Рабочие штаны гражданина' (#33)
[01:02:01]	W00KI has gained a 'Рабочие штаны гражданина' #33.
[01:02:06]	Builder Bob exited observer at their location.
[01:02:07]	Builder Bob entered observer.
[01:02:07]	Builder Bob exited observer at their location.
[01:02:07]	Builder Bob entered observer.
[01:02:07]	Builder Bob exited observer at their location.
[01:02:08]	Builder Bob entered observer.
[01:02:08]	W00KI ran 'TakeUpClothes' on item 'Рабочие штаны гражданина' (#33)
[01:02:09]	Builder Bob exited observer at their location.
[01:02:09]	Builder Bob entered observer.
[01:02:12]	Builder Bob exited observer at their location.
[01:02:12]	Builder Bob entered observer.
[01:02:17]	Егор Егор ran 'TakeUpClothes' on item 'Свитер' (#34)
[01:02:30]	W00KI entered observer.
[01:02:32]	Егор Егор entered observer.
[01:02:50]	W00KI exited observer at their location.
[01:03:08]	W00KI has spawned 'models/sal/office/conftable3.mdl'.
[01:03:15]	W00KI entered observer.
[01:03:20]	W00KI exited observer at their location.
[01:03:25]	W00KI has spawned 'models/sal/office/officechair5_2.mdl'.
[01:03:29]	W00KI has spawned 'models/sal/office/officechair5_2.mdl'.
[01:03:34]	W00KI has spawned 'models/sal/office/officechair5_2.mdl'.
[01:03:36]	W00KI has spawned 'models/sal/office/officechair5_2.mdl'.
[01:03:39]	W00KI has spawned 'models/sal/office/officechair5_2.mdl'.
[01:04:06]	Егор Егор has spawned 'models/props_wasteland/prison_bedframe001b.mdl'.
[01:04:12]	Егор Егор has spawned 'models/props_wasteland/interior_fence001g.mdl'.
[01:04:16]	Егор Егор has spawned 'models/props_wasteland/prison_celldoor001b.mdl'.
[01:04:17]	W00KI has spawned 'models/sal/office/officechair5_2.mdl'.
[01:04:20]	W00KI has spawned 'models/sal/office/officechair5_2.mdl'.
[01:04:22]	W00KI has spawned 'models/sal/office/officechair5_2.mdl'.
[01:04:25]	W00KI has spawned 'models/sal/office/officechair5_2.mdl'.
[01:04:25]	Егор Егор has spawned 'models/props_c17/fence01b.mdl'.
[01:04:27]	Егор Егор has spawned 'models/props_c17/fence01a.mdl'.
[01:04:29]	W00KI has spawned 'models/sal/office/officechair5_2.mdl'.
[01:04:31]	W00KI has spawned 'models/sal/office/officechair5_2.mdl'.
[01:04:34]	W00KI has spawned 'models/sal/office/officechair5_2.mdl'.
[01:05:16]	Егор Егор exited observer at their location.
[01:05:16]	W00KI has spawned 'models/union/props/union paintings 2.mdl'.
[01:05:18]	Егор Егор entered observer.
[01:05:20]	W00KI entered observer.
[01:05:28]	W00KI has spawned 'models/union/props/union paintings.mdl'.
[01:05:34]	Егор Егор has spawned a 'Entity [818][ix_forcefield]'.
[01:05:41]	Егор Егор has spawned a 'Entity [818][ix_forcefield]'.
[01:05:43]	Егор Егор has spawned a 'Entity [818][ix_forcefield]'.
[01:05:54]	Егор Егор has spawned a 'Entity [818][ix_forcefield]'.
[01:06:00]	Егор Егор has spawned a 'Entity [818][ix_forcefield]'.
[01:06:03]	W00KI exited observer at their location.
[01:06:08]	Егор Егор has spawned a 'Entity [818][ix_forcefield]'.
[01:06:11]	Егор Егор has spawned a 'Entity [818][ix_forcefield]'.
[01:06:14]	Егор Егор has spawned a 'Entity [818][ix_forcefield]'.
[01:06:23]	Егор Егор has spawned a 'Entity [818][ix_forcefield]'.
[01:06:25]	Егор Егор has spawned a 'Entity [818][ix_forcefield]'.
[01:06:27]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[01:06:30]	Егор Егор has spawned a 'Entity [818][ix_forcefield]'.
[01:06:33]	W00KI has spawned 'models/props/cs_havana/bookcase_small.mdl'.
[01:06:36]	Егор Егор has spawned a 'Entity [819][ix_forcefield]'.
[01:06:40]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[01:06:40]	Егор Егор exited observer at their location.
[01:06:42]	Егор Егор entered observer.
[01:06:49]	Егор Егор has spawned a 'Entity [444][ix_forcefield]'.
[01:06:54]	W00KI has spawned 'models/props/cs_havana/bookcase_small.mdl'.
[01:06:54]	Егор Егор has spawned a 'Entity [818][ix_forcefield]'.
[01:07:13]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[01:07:27]	W00KI has spawned 'models/props/cs_havana/bookcase_small.mdl'.
[01:07:31]	Builder Bob has spawned 'models/props_warehouse/office_furniture_desk_corner.mdl'.
[01:07:31]	Егор Егор ran 'take' on item 'Карточка замка союза' (#35)
[01:07:31]	Егор Егор has gained a 'Карточка замка союза' #35.
[01:07:33]	Егор Егор ran 'take' on item 'Карточка от тяжелого замка' (#36)
[01:07:33]	Егор Егор has gained a 'Карточка от тяжелого замка' #36.
[01:07:45]	W00KI has spawned 'models/props/cs_havana/bookcase_small.mdl'.
[01:08:00]	Builder Bob has spawned 'models/props_office/desk_004.mdl'.
[01:08:11]	W00KI has spawned 'models/props/cs_havana/bookcase_small.mdl'.
[01:08:22]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[01:08:40]	Егор Егор has spawned a 'Entity [829][ix_forcefield]'.
[01:08:43]	W00KI has spawned 'models/props/cs_havana/bookcase_small.mdl'.
[01:09:02]	W00KI has spawned 'models/props/cs_havana/bookcase_small.mdl'.
[01:09:05]	W00KI has spawned 'models/props/cs_havana/bookcase_small.mdl'.
[01:09:05]	Егор Егор has spawned a 'Entity [861][ix_forcefield]'.
[01:09:09]	Builder Bob has spawned 'models/props_office/desk_004.mdl'.
[01:09:20]	Егор Егор exited observer at their location.
[01:09:22]	Егор Егор entered observer.
[01:09:32]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[01:09:32]	Егор Егор exited observer at their location.
[01:09:33]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[01:09:36]	W00KI entered observer.
[01:09:36]	Builder Bob exited observer at their location.
[01:09:38]	Builder Bob entered observer.
[01:09:40]	Егор Егор entered observer.
[01:09:41]	Егор Егор exited observer at their location.
[01:09:41]	Егор Егор entered observer.
[01:09:42]	Егор Егор exited observer at their location.
[01:09:44]	Builder Bob exited observer at their location.
[01:09:47]	W00KI exited observer at their location.
[01:09:48]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[01:09:49]	Builder Bob has spawned 'models/props_office/meeting_chair_002.mdl'.
[01:09:59]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[01:10:00]	Егор Егор entered observer.
[01:10:17]	W00KI entered observer.
[01:10:37]	W00KI exited observer at their location.
[01:10:41]	W00KI entered observer.
[01:10:48]	W00KI exited observer at their location.
[01:10:49]	W00KI has spawned 'models/props/cs_havana/bookcase_small.mdl'.
[01:10:56]	Егор Егор has spawned a 'Entity [831][ix_forcefield]'.
[01:10:58]	W00KI entered observer.
[01:11:01]	W00KI exited observer at their location.
[01:11:03]	W00KI has spawned 'models/props/cs_havana/bookcase_small.mdl'.
[01:11:07]	Егор Егор has spawned a 'Entity [838][ix_forcefield]'.
[01:11:11]	W00KI entered observer.
[01:11:15]	W00KI exited observer at their location.
[01:11:16]	Егор Егор has spawned 'models/props_interiors/refrigeratorDoor01a.mdl'.
[01:11:18]	Builder Bob has spawned 'models/props_office/meeting_chair_001.mdl'.
[01:11:30]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[01:11:30]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[01:11:34]	Егор Егор has spawned a 'Entity [913][ix_forcefield]'.
[01:11:37]	Егор Егор has spawned a 'Entity [913][ix_forcefield]'.
[01:11:38]	Егор Егор has spawned a 'Entity [915][ix_forcefield]'.
[01:11:39]	Builder Bob entered observer.
[01:11:40]	Builder Bob exited observer at their location.
[01:11:43]	W00KI has spawned 'models/props/cs_havana/bookcase_small.mdl'.
[01:11:44]	W00KI has spawned 'models/props/cs_havana/bookcase_small.mdl'.
[01:12:05]	Builder Bob has spawned 'models/props_office/meeting_chair_001.mdl'.
[01:12:07]	Егор Егор has spawned 'models/props_interiors/refrigeratorDoor01a.mdl'.
[01:12:23]	Builder Bob used command '/CharSetModel Bob models/union/citizens/male_02.mdl'.
[01:12:28]	W00KI has spawned 'models/env/decor/tall_plant_b/tall_plant_b.mdl'.
[01:12:33]	Егор Егор has spawned a 'Entity [916][ix_forcefield]'.
[01:12:37]	W00KI has spawned 'models/props_interiors/desk_motel.mdl'.
[01:12:42]	Егор Егор has spawned a 'Entity [916][ix_forcefield]'.
[01:12:44]	Егор Егор has spawned a 'Entity [922][ix_forcefield]'.
[01:12:50]	W00KI has spawned 'models/union/props/union_tv_medium.mdl'.
[01:12:50]	W00KI entered observer.
[01:12:58]	W00KI exited observer at their location.
[01:13:03]	Builder Bob has spawned 'models/props_office/pen_holder.mdl'.
[01:13:08]	Builder Bob has spawned 'models/props_office/old_telephone.mdl'.
[01:13:12]	Beres has connected.
[01:13:17]	W00KI has spawned 'models/union/props/statue_breenbust.mdl'.
[01:13:29]	W00KI has spawned 'models/props/interior/comfy_couch_3seat.mdl'.
[01:13:32]	W00KI entered observer.
[01:13:35]	W00KI has spawned 'models/props/interior/comfy_couch_1seat.mdl'.
[01:13:37]	W00KI has spawned 'models/props/interior/comfy_couch_2seat.mdl'.
[01:13:46]	W00KI has spawned 'models/props/interior/comfy_couch_2seat.mdl'.
[01:13:49]	W00KI has spawned 'models/props/interior/comfy_couch_2seat.mdl'.
[01:13:52]	Builder Bob has spawned 'models/union/props/terminal.mdl'.
[01:13:53]	Builder Bob has taken 50 damage from prop_physics.
[01:13:53]	Builder Bob has taken 5 damage from prop_physics.
[01:13:53]	W00KI exited observer at their location.
[01:13:54]	Builder Bob entered observer.
[01:13:59]	W00KI has spawned 'models/props/interior/comfy_couch_1seat.mdl'.
[01:14:00]	W00KI has spawned 'models/props/interior/coffee_table_glass_small.mdl'.
[01:14:34]	Егор Егор has spawned 'models/props_junk/TrafficCone001a.mdl'.
[01:14:35]	W00KI has spawned a 'Entity [966][gmt_instrument_piano]'.
[01:14:35]	Builder Bob exited observer at their location.
[01:14:42]	Егор Егор has spawned 'models/props_junk/TrafficCone001a.mdl'.
[01:14:43]	Builder Bob ran 'take' on item 'Flashlight' (#37)
[01:14:43]	Builder Bob has gained a 'Flashlight' #37.
[01:14:46]	Егор Егор has spawned 'models/props_junk/TrafficCone001a.mdl'.
[01:14:48]	Builder Bob ran 'Medic' on item 'IFAK' (#38)
[01:14:55]	Builder Bob entered observer.
[01:14:58]	W00KI has spawned 'models/props_c17/FurnitureDrawer003a.mdl'.
[01:15:08]	W00KI has spawned 'models/union/props/greatleader bust.mdl'.
[01:15:30]	W00KI has spawned 'models/chairs/armchair.mdl'.
[01:15:32]	W00KI has spawned 'models/chairs/armchair.mdl'.
[01:15:38]	W00KI entered observer.
[01:15:39]	W00KI exited observer at their location.
[01:15:43]	W00KI has spawned 'models/props/de_inferno/tableantique.mdl'.
[01:15:48]	W00KI has spawned 'models/env/lighting/lamp_trumpet/lamp_trumpet_tall.mdl'.
[01:15:58]	Егор Егор has spawned 'models/props_c17/fence04a.mdl'.
[01:15:59]	Builder Bob has spawned 'models/union/props/paperfolders.mdl'.
[01:16:06]	Егор Егор has spawned 'models/props_c17/fence04a.mdl'.
[01:16:15]	W00KI entered observer.
[01:16:16]	W00KI has spawned 'models/union/props/horse.mdl'.
[01:16:35]	W00KI exited observer at their location.
[01:16:41]	Builder Bob has spawned 'models/props_office/paper_stack_001.mdl'.
[01:16:44]	W00KI entered observer.
[01:16:45]	W00KI exited observer at their location.
[01:16:52]	Builder Bob has spawned 'models/props_office/cutlery_bucket.mdl'.
[01:16:52]	W00KI has spawned 'models/props/interior/comfy_couch_2seat.mdl'.
[01:16:55]	W00KI has spawned 'models/props/interior/coffee_table_glass_small.mdl'.
[01:17:01]	W00KI has spawned 'models/props/interior/comfy_couch_2seat.mdl'.
[01:17:10]	W00KI has spawned 'models/props/interior/cabinet.mdl'.
[01:17:16]	Егор Егор has spawned a 'Entity [979][ix_forcefield]'.
[01:17:18]	W00KI entered observer.
[01:17:19]	Builder Bob exited observer at their location.
[01:17:28]	W00KI exited observer at their location.
[01:17:30]	W00KI entered observer.
[01:17:43]	W00KI exited observer at their location.
[01:17:43]	Егор Егор has spawned a 'Entity [963][ix_forcefield]'.
[01:17:47]	W00KI has spawned 'models/props/interior/cabinet.mdl'.
[01:17:50]	W00KI has spawned 'models/props/interior/desk_motel.mdl'.
[01:18:03]	W00KI has spawned 'models/union/props/union_tv_medium.mdl'.
[01:18:09]	Егор Егор has spawned 'models/union/props/union_tv_small.mdl'.
[01:18:19]	W00KI entered observer.
[01:18:30]	Builder Bob entered observer.
[01:18:40]	W00KI exited observer at their location.
[01:18:42]	W00KI entered observer.
[01:18:48]	W00KI has spawned 'models/props/cs_havana/bookcase_small.mdl'.
[01:18:48]	W00KI has spawned 'models/props/cs_havana/bookcase_small.mdl'.
[01:18:48]	W00KI has spawned 'models/props/cs_havana/bookcase_small.mdl'.
[01:18:48]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[01:18:48]	W00KI has spawned 'models/props/cs_havana/bookcase_small.mdl'.
[01:18:48]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[01:18:48]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[01:18:48]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[01:18:50]	W00KI has spawned 'models/props/cs_havana/bookcase_small.mdl'.
[01:18:50]	W00KI has spawned 'models/props/cs_havana/bookcase_small.mdl'.
[01:18:50]	W00KI has spawned 'models/props/cs_havana/bookcase_small.mdl'.
[01:18:50]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[01:18:50]	W00KI has spawned 'models/props/cs_havana/bookcase_small.mdl'.
[01:18:50]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[01:18:50]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[01:18:50]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[01:18:51]	W00KI has spawned 'models/props/cs_havana/bookcase_small.mdl'.
[01:18:51]	W00KI has spawned 'models/props/cs_havana/bookcase_small.mdl'.
[01:18:51]	W00KI has spawned 'models/props/cs_havana/bookcase_small.mdl'.
[01:18:51]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[01:18:51]	W00KI has spawned 'models/props/cs_havana/bookcase_small.mdl'.
[01:18:51]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[01:18:51]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[01:18:51]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[01:18:53]	W00KI has spawned 'models/props/cs_havana/bookcase_small.mdl'.
[01:18:53]	W00KI has spawned 'models/props/cs_havana/bookcase_small.mdl'.
[01:18:53]	W00KI has spawned 'models/props/cs_havana/bookcase_small.mdl'.
[01:18:53]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[01:18:53]	W00KI has spawned 'models/props/cs_havana/bookcase_small.mdl'.
[01:18:53]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[01:18:53]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[01:18:53]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[01:18:55]	W00KI exited observer at their location.
[01:19:01]	W00KI has spawned 'models/props/cs_havana/bookcase_small.mdl'.
[01:19:01]	W00KI has spawned 'models/props/cs_havana/bookcase_small.mdl'.
[01:19:01]	W00KI has spawned 'models/props/cs_havana/bookcase_small.mdl'.
[01:19:01]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[01:19:01]	W00KI has spawned 'models/props/cs_havana/bookcase_small.mdl'.
[01:19:01]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[01:19:01]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[01:19:01]	W00KI has spawned 'models/props/cs_havana/bookcase_large.mdl'.
[01:19:02]	W00KI has spawned 'models/props/cs_havana/bookcase_small.mdl'.
[01:19:02]	W00KI has spawned 'models/props/cs_havana/bookcase_small.mdl'.
[01:19:02]	W00KI has spawned 'models/props/cs_havana/bookcase_small.mdl'.
